trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
284,False,"{'a': 0.5, 'e': 0.17993661791691867}",30,16,0.6248010279877232,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.17885699820941717}",20,13,11.915251813759966,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.17778385622016066}",25,0,37.660612948243966,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
287,False,"{'a': 0.5, 'e': 0.1767171530828397}",20,16,8.632196828659218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.17565685016434265}",25,5,24.80245846924487,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.1746029090633566}",20,0,28.306445503666396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
290,False,"{'a': 0.5, 'e': 0.17355529160897645}",20,11,13.949862901917863,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.1725139598593226}",30,15,23.980128365332444,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.17147887610016666}",20,0,25.346275812364837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.17045000284356565}",20,3,26.675070271383692,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.16942730282650426}",20,16,6.533256283216733,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.16841073900954523}",20,10,17.056191773718325,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.16740027457548798}",25,13,21.477218507401084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.16639587292803504}",25,18,10.350462616819577,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
